Symbol	Description
0001.HK	Cheung Kong (Holdings) Ltd
0002.HK	CLP Holdings Ltd
0003.HK	Hong Kong and China Gas Co. Ltd
0004.HK	Wharf (Holdings) Ltd
0005.HK	HSBC Holdings plc
0006.HK	Hongkong Electric Holdings Ltd
0007.HK	Karl Thomson Holdings Ltd
0008.HK	PCCW Ltd
0010.HK	Hang Lung Group Ltd
0011.HK	Hang Seng Bank Ltd
0012.HK	Henderson Land Development Co. Ltd
0013.HK	Hutchison Whampoa Ltd
0014.HK	Hysan Development Co. Ltd
0015.HK	Vantage International (Holdings) Ltd
0016.HK	Sun Hung Kai Properties Ltd
0017.HK	New World Development Co. Ltd
0018.HK	Oriental Press Group Ltd
0019.HK	Swire Pacific Ltd 'A'
0020.HK	Wheelock and Co. Ltd
0021.HK	Beauforte Investors Corporation Ltd
0022.HK	Mexan Ltd
0023.HK	Bank of East Asia Ltd
0024.HK	Burwill Holdings Ltd
0025.HK	Chevalier International Holdings Ltd
0026.HK	China Motor Bus Co. Ltd
0027.HK	Galaxy Entertainment Group Ltd
0028.HK	Tian An China Investments Co. Ltd
0029.HK	Dynamic Holdings Ltd
0030.HK	ABC Communications (Holdings) Ltd
0031.HK	China Aerospace International Holdings Ltd
0032.HK	Cross-Harbour (Holdings) Ltd
0033.HK	Elec & Eltek International Holdings Ltd
0034.HK	Kowloon Development Co. Ltd
0035.HK	Far East Consortium International Ltd
0037.HK	Far East Hotels & Entertainment Ltd
0038.HK	First Tractor Co Ltd
0039.HK	Wealthmark International (Holdings) Ltd
0040.HK	Gold Peak Industries (Holdings) Ltd
0041.HK	Great Eagle Holdings Ltd
0042.HK	Northeast Electric Development Co. Ltd
0043.HK	C. P. Pokphand Co. Ltd
0044.HK	Hong Kong Aircraft Engineering Co. Ltd
0045.HK	Hongkong and Shanghai Hotels Ltd
0046.HK	Computer And Technologies Holdings Ltd
0047.HK	Hop Hing Holdings Ltd
0050.HK	Hong Kong Ferry (Holdings) Co. Ltd
0051.HK	Harbour Centre Development Ltd
0052.HK	Fairwood Holdings Ltd
0053.HK	Guoco Group Ltd
0054.HK	Hopewell Holdings Ltd
0055.HK	Chung Tai Printing Holdings Ltd
0056.HK	Allied Properties (HK) Ltd
0057.HK	Chen Hsong Holdings Ltd
0058.HK	Sunway International Holdings Ltd
0060.HK	Four Seas Food Investment Holdings Ltd
0061.HK	Venture International Investment Holdings Ltd
0062.HK	Transport International Holdings Ltd
0063.HK	Winfoong International Ltd
0064.HK	Get Nice Holdings Ltd
0065.HK	Pacific Century Insurance Holdings Ltd
0066.HK	MTR Corporation Ltd
0067.HK	Imgo
0069.HK	Shangri-La Asia Ltd
0070.HK	Massive Resources International Corporation Ltd
0071.HK	Miramar Hotel & Investment Co. Ltd
0072.HK	King Pacific International Holdings Ltd
0073.HK	Alpha General (holdings)
0074.HK	Great Wall Technology Co. Ltd
0075.HK	Y. T. Realty Group Ltd
0076.HK	South Sea Petroleum Holdings Ltd
0077.HK	AMS Public Transport Holdings Ltd
